,index,P,V,T,E
19,20,104610000000.0,0.5645997,2034.704,9515448.0
18,19,90965230000.0,0.5867808,2085.488,8307535.0
17,18,79100200000.0,0.6109349,2110.497,7175049.0
16,17,68782780000.0,0.6359999,2332.245,7582476.0
15,16,59811110000.0,0.6630206,2120.222,5138911.0
14,15,52009660000.0,0.691681,2106.536,4247066.0
13,14,45225790000.0,0.7220323,2084.648,3426775.0
12,13,39326780000.0,0.7541419,2056.349,2672650.0
0,1,17098600000.0,0.9882135,1800.509,-695116.6
1,2,8549299000.0,1.37792,1587.362,-2489381.0
2,3,4274650000.0,1.59656,1371.372,-3648443.0
3,4,2137325000.0,2.278194,1175.036,-4441231.0
4,5,1068662000.0,2.978446,1004.237,-4972155.0
5,6,534331200.0,3.945016,856.6651,-5338681.0
6,7,267165600.0,4.804284,730.0468,-5595466.0
7,8,133582800.0,6.56564,621.3205,-5779845.0
8,9,66791400.0,9.118771,528.1159,-5914153.0
9,10,33395700.0,12.94697,447.974,-6014636.0
10,11,16697850.0,18.79395,379.0007,-6091109.0
11,12,8348925.0,27.88737,319.5392,-6150809.0
